Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Anze Kopitar,104,,0.5,,,,-170,,0.5,,100,1.5
Adrian Kempe,109,,0.5,,,,-190,,0.5,,-170,3.5
Roman Josi,112,,0.5,,,,-130,,0.5,,117,2.5
Drew Doughty,121,,0.5,,,,-114,,0.5,,,
Quinton Byfield,130,,0.5,,,,-150,,0.5,,-164,2.5
Filip Forsberg,130,,0.5,,,,-205,,0.5,,-133,3.5
Phillip Danault,140,,0.5,,,,-120,,0.5,,127,1.5
Ryan O'Reilly,145,,0.5,,,,-135,,0.5,,-198,2.5
Trevor Moore,160,,0.5,,,,-135,,0.5,,-167,3.5
Gustav Nyquist,160,,0.5,,,,,,,,-113,1.5
Pierre-Luc Dubois,220,,0.5,,,,107,,0.5,,-188,2.5
Tommy Novak,240,,0.5,,,,121,,0.5,,,
Cody Glass,,,,,,,,,,,117,1.5
Colton Sissons,,,,,,,,,,,,
Alex Laferriere,,,,,,,,,,,,
Arthur Kaliyev,,,,,,,,,,,,
Michael McCarron,,,,,,,,,,,,
Cole Smith,,,,,,,,,,,,
Kiefer Sherwood,,,,,,,,,,,,
Jaret Anderson-Dolan,,,,,,,,,,,,
Alex Turcotte,,,,,,,,,,,,
Matt Roy,,,,,,,,,,,,
Mikey Anderson,,,,,,,,,,,,
Brandt Clarke,,,,,,,,,,,,
Jeremy Lauzon,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,
Luke Schenn,,,,,,,,,,,,
Dante Fabbro,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,
