Name,Fantasy_Line,Threes_Line,Double_Line,FT_Line,Triple_Line,Blocks_Line,Turnovers_Line,PointsReboundsAssists_Line,PointsRebounds_Line,Points_Line,ReboundsAssists_Line,Steals_Line,PointsAssists_Line,Assists_Line,BlocksSteals_Line,Rebounds_Line
Josh Giddey,,0.5s,,,,0.5,,19.5,,9.0,9.5,0.5s,,3.5,1.5s,6.0
Gordon Hayward,,0.5s,,,,0.5s,,10.5,,,,0.5s,,,0.5,
Luguentz Dort,,1.5s,,,,0.5s,,15.5,,,,0.5s,,,1.5s,4.0
Cason Wallace,,1.5s,,,,0.5s,,,,,,,,,1.5s,
Amen Thompson,,0.5s,,,,0.5s,1.5,18.5,,,9.0,0.5s,,,1.5s,5.5s
Jabari Smith Jr.,,1.5,0.5s,,,0.5,1.5s,25.5,24.5,14.5,11.0,0.5s,16.5,,1.5,9.5
Cam Whitmore,,1.5s,,,,0.5s,1.5,16.5,15.5,,,,,,0.5s,3.5
Jeff Green,,0.5s,,,,0.5s,,,,,,0.5s,,,0.5s,2.0
Isaiah Joe,,1.5s,,,,0.5s,,10.5,,,,0.5,,,,
Aaron Wiggins,,0.5,,,,0.5s,,,,,,0.5s,,,0.5s,2.5
Jimmy Butler,38.85,0.5s,,,,0.5s,1.5,30.5,26.0,20.5,10.5,1.5,25.5,,2.0,5.5
Bam Adebayo,43.95,,0.5s,,,1.5s,2.5,35.5,31.5,20.5,14.5,1.5s,24.5,,2.5s,11.0
Jerami Grant,,2.0,,,,0.5s,,28.5,24.5,,7.5s,0.5s,24.5,3.5,1.5s,3.5
Anfernee Simons,,3.0,,,,0.5s,3.0,31.5,25.5,,9.0,0.5s,28.5,5.5s,0.5,
Jaime Jaquez Jr.,,0.5,,,,0.5s,1.5,17.5,15.5,,5.5,0.5s,,,1.5s,3.5
Deandre Ayton,,,0.5s,,,0.5s,1.5s,29.5,27.5,16.5,,0.5s,,,1.5s,10.5
Kevin Love,,1.5s,,,,0.5s,,13.5,,,,0.5s,,,0.5,5.0
Terry Rozier,,1.5s,,,,0.5s,1.5,24.0,19.5,,8.5,0.5s,20.5,4.5,1.5s,3.5
Caleb Martin,,1.5s,,,,0.5s,1.5s,16.5,,,6.5,0.5s,,,1.5,4.5
Jabari Walker,,0.5s,,,,0.5s,,12.5,,,,0.5s,,,0.5,5.5
Duop Reath,,0.5s,,,,0.5s,,10.5,,,,0.5s,,,0.5s,3.0
Toumani Camara,,0.5,,,,0.5s,1.5s,11.5,,,5.5,0.5s,,,1.5s,4.5
Matisse Thybulle,,0.5s,,,,0.5s,,,,,,1.5,,,2.0,
Duncan Robinson,,3.0,,,,0.5s,1.5s,19.5,15.5,,6.0,0.5s,16.5,3.5s,1.5s,2.5
Nikola Jokic,,0.5s,0.5s,,0.5s,0.5s,2.5s,49.5,39.5,26.5,22.5,1.5s,36.5,9.5,2.0,12.5
De'Aaron Fox,,2.5s,,,,0.5s,2.5s,35.5,30.5,,9.5,1.5s,31.5,5.0,2.5s,4.0
Jamal Murray,,2.5s,,,,0.5s,2.5s,33.5,26.5,22.5,10.5,0.5s,29.5,7.0,1.5s,
Domantas Sabonis,,0.5s,,,0.5s,0.5s,2.5,39.5,31.5,17.5,21.5,0.5s,26.5,8.0,1.5s,13.5
Aaron Gordon,,0.5,,,,0.5s,1.5s,23.5,20.5,14.5,8.5,0.5s,17.5,,1.5,6.0
Michael Porter Jr.,,2.5,,,,0.5s,,25.5,23.5,16.5,,0.5s,,,0.5s,6.5
Keegan Murray,,1.5,,,,0.5s,,19.5,17.5,,6.5,0.5s,,,1.5s,5.0
Harrison Barnes,,1.5s,,,,0.5s,,13.5,,,,0.5,,,0.5s,2.5
Kentavious Caldwell-Pope,,1.5,,,,0.5s,,14.5,,,,0.5s,,,1.5s,2.5
Kevin Huerter,,2.0,,,,0.5s,,17.5,15.5,,,0.5,,,0.5s,3.5
LeBron James,,1.5s,0.5s,,,,,39.5,,25.5,14.5,,,7.5,,6.5
Kawhi Leonard,,2.0,,,,,,36.5,,24.5,11.0,,,4.0,,7.0
Anthony Davis,,0.5s,,,,,,40.5,,24.5,15.5,,,,,13.5
James Harden,,3.5,0.5s,,,,,35.5,,20.5,14.5,,,8.0,,6.0
Norman Powell,,3.0,,,,,,23.5,,,,,,,,
Ivica Zubac,,,0.5s,,,,,24.5,,12.5,11.5,,,,,9.5
Terance Mann,,1.5s,,,,,,18.5,,,6.5,,,,,4.0
