Name,Turnovers_Line,ReboundsAssists_Line,PointsRebounds_Line,PointsReboundsAssists_Line,Assists_Line,Points_Line,Double_Line,BlocksSteals_Line,Rebounds_Line,Threes_Line,Blocks_Line,Triple_Line,Fantasy_Line,FT_Line,Steals_Line,PointsAssists_Line
Isaiah Hartenstein,1.5s,10.0,15.5,18.5,,7.5,,2.5s,8.5s,,1.5s,,,,1.5s,
Alec Burks,,,,12.5,,,,0.5,,1.5s,0.5s,,,,0.5s,
Ausar Thompson,1.5s,,,16.5s,,,,2.0,6.0,0.5s,0.5s,,,,1.5s,
Evan Fournier,,,,11.5,,,,0.5s,,,0.5s,,,,0.5s,
Miles McBride,,,,,,,,0.5,,0.5s,,,,,0.5,
Simone Fontecchio,,,,16.5,,,,,,2.0,,,,,,
Nic Claxton,1.5s,,23.5,25.0,,11.5,,3.0,11.5s,,2.0,,,,0.5s,
Mikal Bridges,2.5s,8.5,25.5,29.5,3.5,,,1.5,4.5,2.5s,0.5s,,,3.0,1.5s,24.5
Jaren Jackson Jr.,3.5,8.5,29.5,32.5,,,,2.5,5.0,2.0,1.5s,,39.75,4.5,1.5s,27.5
Luke Kennard,1.5s,,,17.5,,,,0.5s,3.0,2.5,0.5s,,,,0.5,
Cam Thomas,2.5s,,23.5,26.5,,,,1.5s,3.0,1.5s,0.5s,,,3.5,1.5s,23.5
Vince Williams Jr.,2.5s,13.5s,,25.5,6.5s,12.5,,1.5s,6.5,1.5s,0.5s,,,2.5,1.5s,
Santi Aldama,,8.5,,18.5,,,,1.5s,6.0,1.5,,,,,0.5,
Dorian Finney-Smith,,6.5s,,14.0,,,,1.5,4.5,,0.5,,,,0.5s,
Derrick Rose,,,,11.5,,,,0.5s,,0.5s,0.5s,,,,0.5s,
Lamar Stevens,,5.5,,13.0,,,,1.5s,4.5,0.5s,0.5,,,,0.5,
GG Jackson,1.5s,,18.5,19.5,,,,1.5s,5.0,1.5s,0.5,,,,0.5,
De'Aaron Fox,3.0,9.5,28.5,34.5,5.0,24.5,,,4.5,2.5s,0.5s,,40.95,4.0,1.5s,29.5
Bam Adebayo,2.5,14.5,33.5,37.5,4.0,22.5,0.5s,2.0,10.5,,0.5s,,43.05,5.0,0.5s,26.5
Domantas Sabonis,2.5,23.5,33.5,43.5,8.5,19.5,0.5s,1.5s,13.5,0.5s,0.5s,0.5s,50.75,3.0,0.5s,28.5
Jaime Jaquez Jr.,1.5s,7.5,20.5,23.5,,,,1.5s,4.5,0.5s,0.5s,,,,0.5s,18.5
Keegan Murray,,,,20.5,,,,1.5s,5.0,2.5s,0.5s,,,,0.5s,
Harrison Barnes,,,15.5,16.5,,,,0.5s,,2.0,0.5s,,,,0.5,
Malik Monk,2.0,7.5,19.5,24.5,4.5,,,1.5s,3.0,2.0,0.5s,,,,0.5,21.5
Kevin Huerter,,,15.5,17.5,,,,0.5s,3.5,2.5s,0.5s,,,,0.5,
