Name,Turnovers_Line,Threes_Line,ReboundsAssists_Line,Steals_Line,Points_Line,BlocksSteals_Line,Double_Line,Blocks_Line,Rebounds_Line,PointsRebounds_Line,Triple_Line,PointsAssists_Line,PointsReboundsAssists_Line,Assists_Line
Damian Lillard,3.5s,2.5s,9.0,1.5s,,1.5s,,0.5s,,28.5,,30.5,33.5,6.0
Anthony Edwards,2.5s,2.5s,11.0,1.5s,27.5,1.5,,0.5s,5.5,32.5,,32.5,38.5,5.5
Karl-Anthony Towns,2.5,2.5s,10.5,0.5,21.5,1.5s,0.5s,0.5,7.5,29.5,,24.5,32.5,
Brook Lopez,,1.5s,,0.5,,3.0,,2.5s,5.0,16.5,,,18.5,
Jaden McDaniels,1.5s,1.5s,,0.5s,,1.5s,,0.5s,3.0,,,,14.5,
Naz Reid,,1.5s,5.0,0.5,,1.5s,,0.5s,4.0,14.5,,11.5,15.5,
Rudy Gobert,1.5s,,14.0,0.5,14.5,2.5s,0.5s,1.5,12.5,,,,28.5,
Mike Conley,1.5s,2.0,9.5,1.5s,9.5,1.5s,,0.5s,3.0,,,16.5,19.5,6.5
Bobby Portis,1.5s,1.5s,8.5,0.5s,12.5,0.5s,,0.5s,7.0,,,,20.5,
Kyle Anderson,,,7.5,0.5s,,0.5s,,0.5s,,8.5,,9.5,12.5,
Nickeil Alexander-Walker,,1.5s,4.0,0.5s,,0.5s,,0.5s,,7.5,,7.5,10.5,2.0
Malik Beasley,,2.5s,,0.5s,,0.5s,,0.5s,3.0,,,,14.5,
Jae Crowder,,0.5s,4.5,0.5s,,0.5s,,0.5s,3.0,,,,9.5,
Monte Morris,,0.5,3.5,0.5s,,0.5,,0.5s,,6.5,,6.5,8.5,
LeBron James,2.5s,1.5,14.5,1.5s,23.5,1.5,0.5s,0.5s,7.0,30.5,,31.5,38.5,7.5
Anthony Davis,2.0,0.5s,16.5,0.5s,24.5,3.5s,,2.0,13.5,38.5,,27.5,41.5,
Victor Wembanyama,3.0,1.5s,13.5,1.5s,22.5,4.5,,2.5s,10.0,32.5,,26.5,36.5,3.5
Devin Vassell,1.5s,2.5,8.5,0.5s,,1.5s,,0.5s,4.0,25.5,,26.5,30.5,4.5
Austin Reaves,1.5,,9.0,0.5s,,1.5s,,0.5s,3.5,19.5,,21.5,24.5,
Keldon Johnson,1.5s,1.5s,6.0,0.5,,1.5s,,0.5s,4.0,17.5,,14.5,19.5,1.5
Jeremy Sochan,1.5s,0.5s,8.5,0.5s,12.5,1.5s,,0.5s,6.0,18.5,,15.5,21.5,
D'Angelo Russell,1.5s,2.5s,9.0,0.5s,,1.5s,,0.5s,3.0,21.5,,23.5,27.5,5.5
Tre Jones,1.5s,0.5,10.0,0.5s,9.5,1.5s,,,3.0,,,16.5,20.5,6.5
Rui Hachimura,,1.5s,5.5,0.5s,,1.5s,,0.5,4.5,17.5,,,18.5,
Julian Champagnie,,1.5s,,,,0.5s,,0.5s,2.5,,,,,
