Name,PointsAssists_Line,PointsRebounds_Line,Assists_Line,Blocks_Line,Triple_Line,Fantasy_Line,Points_Line,ReboundsAssists_Line,Turnovers_Line,BlocksSteals_Line,Rebounds_Line,FT_Line,Double_Line,Steals_Line,PointsReboundsAssists_Line,Threes_Line
Brandon Ingram,29.5,28.5,7.0,0.5,,39.85,22.5,12.5,2.5s,1.5,5.5,,,0.5s,35.5,1.5
Zion Williamson,31.5,31.5,6.0,0.5,,42.55,24.5,12.5,2.5s,1.5,6.0,,,0.5s,37.5,
DeMar DeRozan,28.5,27.5,5.0,0.5s,,37.55,,9.0,1.5,1.5,4.0,,,1.5s,32.5,0.5s
Alex Caruso,,,3.5,1.5s,,,,7.5,1.5s,2.5s,,,,1.5,16.5,1.5s
Coby White,27.5,26.5,5.5,0.5s,,,,10.0,2.5,0.5s,,,,0.5s,32.5,3.5
Nikola Vucevic,,29.5,,1.5s,,39.85,18.5,13.5,1.5,2.0,10.5,,0.5s,0.5s,32.5,1.5s
Herbert Jones,14.5,16.5,2.5,0.5s,,,,7.0,1.5,1.5s,4.5,,,1.5s,19.5,1.5
Jonas Valanciunas,16.5,24.5,,0.5s,,,14.5,12.5,1.5,1.5,10.5,,,0.5s,27.5,0.5s
Andre Drummond,9.5,18.5,,0.5s,,,8.5,9.5,0.5s,1.5,9.0,,0.5s,0.5s,18.5,
Trey Murphy III,16.5,18.5,,0.5,,,,6.0,0.5s,1.5s,4.0,,,1.5s,20.5,2.5s
Ayo Dosunmu,17.5,17.5,,,,,,7.0,1.5s,1.5,,,,0.5s,21.5,1.5s
Shai Gilgeous-Alexander,38.5,37.5,6.5,0.5s,,53.05,31.5,12.0,2.5,2.5s,5.5,,,1.5s,43.5,1.5s
Alperen Sengun,25.5,30.5,5.0,0.5s,,40.55,19.5,15.0,2.5,,10.0,,0.5s,0.5s,35.5,0.5s
Chet Holmgren,17.5,23.5,,2.5,,37.75,15.5,11.0,1.5s,3.5,8.5,,0.5s,0.5,26.5,1.5
Jalen Williams,23.5,22.5,4.5,0.5s,,,,8.5,1.5s,1.5,4.0,,,1.5s,27.5,1.5
Fred VanVleet,22.5,19.5,6.5,0.5s,,,15.5,10.0,1.5s,2.0,3.5,,,1.5s,25.5,3.0
Dillon Brooks,,,,0.5s,,,,,1.5s,0.5s,,,,0.5s,17.5,1.5s
Jalen Green,18.5,19.5,,0.5s,,,,7.0,2.0,0.5s,4.0,,,0.5,22.5,1.5s
Josh Giddey,,16.5,,0.5,,,10.0,9.5,1.5,1.5s,6.0,,,0.5,19.5,0.5s
Gordon Hayward,8.5,9.5,1.5,0.5s,,,,4.5,0.5s,0.5,2.5,,,0.5s,11.5,0.5s
Luguentz Dort,,,,,,,,,,1.5s,,,,0.5s,13.5,1.5
Amen Thompson,,18.5,,0.5,,,11.5,10.0,1.5s,1.5s,7.0,,,1.5s,21.5,0.5s
Cason Wallace,,,,0.5s,,,,,0.5s,0.5s,,,,0.5s,,0.5s
Jabari Smith Jr.,15.5,23.5,,0.5,,,13.5,10.5,1.5,1.5s,9.0,,0.5s,0.5s,24.5,1.5s
Cam Whitmore,,16.5,,0.5s,,,,,1.5,0.5s,4.0,,,0.5,17.5,1.5s
Isaiah Joe,8.5,9.5,,0.5s,,,,3.5,0.5,0.5s,2.0,,,0.5s,10.5,1.5
Jeff Green,,,,0.5s,,,,,,0.5s,,,,0.5s,6.5,0.5s
