Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Rebounds_Assists_Over,Points_Rebounds_Assists_Under,Points_Rebounds_Assists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Dereck Lively II,,106,0.5,,-104,5.5,,-126,11.5,,-106,4.5,,,
PJ Washington,,-128,1.5,,-138,10.5,,-112,16.5,,101,4.5,,-182,1.5
Max Strus,,-136,3.5,,-107,8.5,,-132,16.5,,-126,3.5,,105,1.5
Kyrie Irving,,103,4.5,,-130,25.5,,-110,34.5,,-110,4.5,,103,2.5
Darius Garland,,105,6.5,,-126,17.5,,-116,26.5,,-202,2.5,,134,1.5
Donovan Mitchell,,107,5.5,,-130,26.5,,-116,36.5,,-136,4.5,,-177,3.5
Evan Mobley,,-187,2.5,,-118,14.5,,-114,25.5,,-116,8.5,,-339,0.5
Luka Doncic,,-128,8.5,,-112,32.5,,-126,50.5,,-126,8.5,,105,3.5
Josh Green,,-192,2.5,,-136,8.5,,-114,13.5,,-177,3.5,,-222,1.5
Tim Hardaway Jr.,,,,,-116,11.5,,-114,15.5,,,,,-177,2.5
Daniel Gafford,,,,,,,,-126,12.5,,-103,4.5,,,
Maxi Kleber,,,,,,,,,,,-114,3.5,,128,0.5
Isaac Okoro,,,,,,,,,,,,,,128,0.5
Georges Niang,,,,,,,,,,,,,,-172,1.5
Draymond Green,,-101,5.5,,-109,8.5,,-142,22.5,,-138,7.5,,-104,0.5
Chris Paul,,-160,5.5,,,,,-109,14.5,,,,,117,0.5
Moses Moody,,-202,1.5,,-126,10.5,,-116,15.5,,109,3.5,,-177,1.5
Jonathan Kuminga,,-120,2.5,,-120,18.5,,-120,27.5,,-148,6.5,,-124,0.5
Marvin Bagley III,,-128,1.5,,-122,12.5,,-118,22.5,,-132,8.5,,,
Stephen Curry,,-160,5.5,,-116,28.5,,-124,38.5,,-157,4.5,,107,4.5
Brandin Podziemski,,-130,4.5,,-124,12.5,,-120,24.5,,-148,7.5,,-202,1.5
Kyle Kuzma,,101,3.5,,-132,22.5,,-128,34.5,,101,7.5,,-172,2.5
Tyus Jones,,-120,9.5,,-110,11.5,,-109,24.5,,-166,3.5,,-142,1.5
Landry Shamet,,-110,2.5,,-118,11.5,,-110,17.5,,-151,3.5,,113,1.5
Corey Kispert,,-126,2.5,,-116,16.5,,-122,23.5,,115,3.5,,122,2.5
Jordan Poole,,-151,3.5,,-112,17.5,,-120,24.5,,,,,-130,2.5
Klay Thompson,,,,,-116,16.5,,-118,21.5,,-160,3.5,,-169,3.5
Gary Payton II,,,,,,,,,,,,,,-194,0.5
Lester Quinones,,,,,,,,,,,,,,-118,0.5
Johnny Davis,,,,,,,,,,,,,,-187,0.5
Collin Sexton,,-151,6.5,,-104,18.5,,100,27.5,,100,2.5,,-113,1.5
Lauri Markkanen,,133,1.5,,100,23.5,,-104,34.5,,-103,8.5,,-145,3.5
Clint Capela,,126,0.5,,-103,9.5,,-119,19.5,,-111,8.5,,,
Jordan Clarkson,,133,4.5,,-113,16.5,,106,24.5,,-163,3.5,,133,1.5
John Collins,,-117,1.5,,110,14.5,,114,25.5,,-117,9.5,,143,0.5
Taylor Hendricks,,-264,1.5,,100,8.5,,-104,14.5,,116,4.5,,-179,1.5
Saddiq Bey,,100,1.5,,100,14.5,,-104,22.5,,-157,6.5,,120,1.5
Bogdan Bogdanovic,,100,3.5,,-117,18.5,,-123,26.5,,104,3.5,,143,2.5
Keyonte George,,-131,5.5,,-121,14.5,,-127,23.5,,143,2.5,,-184,2.5
Dejounte Murray,,110,8.5,,-111,24.5,,102,39.5,,-142,6.5,,-139,2.5
Kris Dunn,,104,3.5,,,,,100,13.5,,-160,3.5,,-103,0.5
Jalen Johnson,,-142,4.5,,-131,18.5,,-115,32.5,,-151,9.5,,-174,1.5
De'Andre Hunter,,,,,-117,17.5,,-117,23.5,,-157,4.5,,152,1.5
Bruno Fernando,,,,,,,,-104,12.5,,110,4.5,,,
Walker Kessler,,,,,,,,114,14.5,,-104,6.5,,,
Garrison Mathews,,,,,,,,,,,,,,165,0.5
Jaylen Brown,,-115,3.5,,-104,20.5,,-103,30.5,,-154,6.5,,110,1.5
Kristaps Porzingis,,123,1.5,,106,19.5,,118,28.5,,102,6.5,,114,1.5
